title	runtime	rating	genre	imdb_url	type	runtime_hours	pixels_cost
Star Wars: Episode VIII - The Last Jedi	9120	6.9	Action, Adventure, Fantasy, Sci-Fi	https://www.imdb.com/title/tt2527336/	movie	2.533333333333333	92518.4475078307
And Then There Were None	5820	7.4	Crime, Drama, Mystery, Thriller	http://www.imdb.com/title/tt0037515/	movie	1.6166666666666667	86477.6864018794
Die Ehe der Maria Braun	7200	7.7	Drama	http://www.imdb.com/title/tt0079095/	movie	2.0	88595.1791420819
A Perfect Day	6360	6.8	Comedy, Drama, War	http://www.imdb.com/title/tt3577624/	movie	1.7666666666666666	238280.2913361378
Close Encounters of the Third Kind	8280	7.6	Drama, Sci-Fi	http://www.imdb.com/title/tt0075860/	movie	2.3	133868.6859028992
Les vacances de Monsieur Hulot	6840	7.3	Comedy	http://www.imdb.com/title/tt0046487/	movie	1.9	218454.8606752622
Il momento della verità	6600	7.2	Drama	http://www.imdb.com/title/tt0059459/	movie	1.8333333333333333	135906.5852463942
Interview with the Vampire: The Vampire Chronicles	7380	7.5	Drama, Fantasy, Horror	http://www.imdb.com/title/tt0110148/	movie	2.05	39670.4900759397
Xiao Bi de gu shi	6000	7.3	Drama	http://www.imdb.com/title/tt0085695/	movie	1.6666666666666667	122703.7395214161
Journey to the Seventh Planet	4620	4.7	Action, Adventure, Fantasy, Horror, Sci-Fi	http://www.imdb.com/title/tt0056127/	movie	1.2833333333333334	100944.0209061772
The Big Short	7800	7.8	Biography, Comedy, Drama, History	http://www.imdb.com/title/tt1596363/	movie	2.1666666666666665	177255.8674752331
Green Room	5700	7	Crime, Drama, Horror, Music, Thriller	http://www.imdb.com/title/tt4062536/	movie	1.5833333333333333	37608.7852973849
I compagni	7800	7.9	Drama, History	http://www.imdb.com/title/tt0056945/	movie	2.1666666666666665	115225.7349140443
O Menino e o Mundo	4800	7.5	Animation, Adventure, Family	http://www.imdb.com/title/tt3183630/	movie	1.3333333333333333	655273.9789098924
Dracula	7680	7.4	Drama, Fantasy, Horror, Romance	http://www.imdb.com/title/tt0103874/	movie	2.1333333333333333	55319.0013703744
Anomalisa	5400	7.2	Animation, Comedy, Drama, Romance	http://www.imdb.com/title/tt2401878/	movie	1.5	85044.4041502768
Send Me No Flowers	6000	7	Comedy, Drama, Romance	http://www.imdb.com/title/tt0058571/	movie	1.6666666666666667	162428.071037296
Fanny och Alexander	11280	8.1	Drama	http://www.imdb.com/title/tt0083922/	movie	3.1333333333333333	107266.1848257212
Bound for Glory	8820	7.3	Biography, Drama, Music	http://www.imdb.com/title/tt0074235/	movie	2.45	97392.7604658362
Resurrected	5760	6.3	Drama, War	http://www.imdb.com/title/tt0098190/	movie	1.6	128758.5666247815
Short Circuit	5880	6.6	Comedy, Family, Sci-Fi	http://www.imdb.com/title/tt0091949/	movie	1.6333333333333333	116664.0792914117
Below	6300	6.1	Action, Horror, Mystery, Thriller	http://www.imdb.com/title/tt0276816/	movie	1.75	72921.5565450175
Que Horas Ela Volta?	6720	7.7	Comedy, Drama	http://www.imdb.com/title/tt3742378/	movie	1.8666666666666667	124013.0976680871
*batteries not included	6360	6.6	Comedy, Family, Fantasy, Sci-Fi	http://www.imdb.com/title/tt0092494/	movie	1.7666666666666666	102800.0551436844
Yip Man 3	6300	7	Action, Biography, Drama, History	http://www.imdb.com/title/tt2888046/	movie	1.75	137817.5890843532
Speedy	5100	7.6	Action, Comedy, Family	http://www.imdb.com/title/tt0019412/	movie	1.4166666666666667	92609.6386682328
AVPR: Aliens vs Predator - Requiem	5640	4.6	Action, Adventure, Horror, Sci-Fi, Thriller	http://www.imdb.com/title/tt0758730/	movie	1.5666666666666667	34405.1962376166
Khartoum	8040	6.8	Action, Adventure, Drama, History, War	http://www.imdb.com/title/tt0060588/	movie	2.2333333333333334	166906.1566388039
Zoolander 2	6060	4.7	Action, Adventure, Comedy, Mystery, Romance	http://www.imdb.com/title/tt1608290/	movie	1.6833333333333333	97879.886700539
Carny	6420	6.3	Drama	http://www.imdb.com/title/tt0080500/	movie	1.7833333333333334	92102.7449710446
Dolls	6840	7.5	Drama, Romance	http://www.imdb.com/title/tt0330229/	movie	1.9	189003.1702933785
The Revenant	9360	8	Action, Adventure, Drama, History, Western	http://www.imdb.com/title/tt1663202/	movie	2.6	116712.9053230624
Shok	1260	7.9	Short, Drama, History, War	http://www.imdb.com/title/tt4273570/	short	0.35	129426.4115594042
Austin Powers in Goldmember	5640	6.2	Action, Adventure, Comedy, Crime	http://www.imdb.com/title/tt0295178/	movie	1.5666666666666667	205218.841490931
Eddie the Eagle	6360	7.3	Adventure, Biography, Comedy, Drama, History, Sport	http://www.imdb.com/title/tt1083452/	movie	1.7666666666666666	156273.7850533581
Small Soldiers	6480	6.2	Action, Adventure, Comedy, Family, Sci-Fi	http://www.imdb.com/title/tt0122718/	movie	1.8	91698.7605641754
Der amerikanische Freund	7680	7.4	Crime, Drama, Mystery, Thriller	http://www.imdb.com/title/tt0075675/	movie	2.1333333333333333	89262.0924743225
Midnight Special	6720	6.6	Drama, Mystery, Sci-Fi, Thriller	http://www.imdb.com/title/tt2649554/	movie	1.8666666666666667	102959.8486997377
A Knife for the Ladies	5160	4.5	Drama, Horror, Mystery, Thriller, Western	http://www.imdb.com/title/tt0071722/	movie	1.4333333333333333	127825.2145623907
Lover Come Back	6420	7.2	Comedy, Drama, Romance	http://www.imdb.com/title/tt0055100/	movie	1.7833333333333334	172709.8616113054
Mediterranea	6420	6.6	Drama	http://www.imdb.com/title/tt3486542/	movie	1.7833333333333334	47114.743540574
55 Days at Peking	9240	6.7	Action, Adventure, Drama, History, War	http://www.imdb.com/title/tt0056800/	movie	2.566666666666667	127711.9309577141
Hrútar	5580	7.2	Drama	http://www.imdb.com/title/tt3296658/	movie	1.55	115592.7076504225
Michael Collins	7980	7.1	Biography, Drama, Thriller, War	http://www.imdb.com/title/tt0117039/	movie	2.216666666666667	89851.9426373106
Louder Than Bombs	6540	6.6	Drama	http://www.imdb.com/title/tt2217859/	movie	1.8166666666666667	131265.7259278482
Underground	10200	8.1	Comedy, Drama, Fantasy, War	http://www.imdb.com/title/tt0114787/	movie	2.8333333333333335	117449.3024548368
AVP: Alien vs. Predator	6060	5.6	Action, Adventure, Horror, Sci-Fi, Thriller	http://www.imdb.com/title/tt0370263/	movie	1.6833333333333333	76184.6876802885
Le Petit Prince	6480	7.7	Animation, Adventure, Drama, Family, Fantasy	http://www.imdb.com/title/tt1754656/	movie	1.8	175184.7167804851
Yours, Mine and Ours	6660	7.1	Comedy, Family	http://www.imdb.com/title/tt0063829/	movie	1.85	128770.5114874709
Austin Powers: The Spy Who Shagged Me	5700	6.6	Action, Adventure, Comedy, Crime	http://www.imdb.com/title/tt0145660/	movie	1.5833333333333333	237014.8331566871
Hawaii	11340	6.5	Drama	http://www.imdb.com/title/tt0060491/	movie	3.15	126773.337852382
The Finest Hours	7020	6.7	Action, Drama, History, Thriller	http://www.imdb.com/title/tt2025690/	movie	1.95	55794.5775568182
A Short Love Story in Stop Motion	180	6	Animation, Short, Romance	http://www.imdb.com/title/tt2104840/	short	0.05	160829.5978483756
Du rififi chez les hommes	7080	8.1	Crime, Drama, Thriller	http://www.imdb.com/title/tt0048021/	movie	1.9666666666666666	129874.8358355186
