#title	runtime	rating	genre	image_path	imdb_url	soup_url	type
Star Wars: Episode VIII - The Last Jedi	9120	6.9	Action, Adventure, Fantasy, Sci-Fi	./images/Star_Wars:_Episode_VIII_-_The_Last_Jedi_(2017).jpg	https://www.imdb.com/title/tt2527336/	https://moviebarcode.tumblr.com/page/1	movie
And Then There Were None	5820	7.4	Crime, Drama, Mystery, Thriller	./images/And_Then_There_Were_None_(1945).jpg	http://www.imdb.com/title/tt0037515/	https://moviebarcode.tumblr.com/page/1	movie
Die Ehe der Maria Braun	7200	7.7	Drama	./images/Die_Ehe_der_Maria_Braun__The_Marriage_of_Maria_Braun_(1979).jpg	http://www.imdb.com/title/tt0079095/	https://moviebarcode.tumblr.com/page/1	movie
A Perfect Day	6360	6.8	Comedy, Drama, War	./images/A_Perfect_Day_(2015).jpg	http://www.imdb.com/title/tt3577624/	https://moviebarcode.tumblr.com/page/1	movie
Close Encounters of the Third Kind	8280	7.6	Drama, Sci-Fi	./images/Close_Encounters_of_the_Third_Kind_(1977).jpg	http://www.imdb.com/title/tt0075860/	https://moviebarcode.tumblr.com/page/1	movie
Les vacances de Monsieur Hulot	6840	7.3	Comedy	./images/Les_vacances_de_Monsieur_Hulot_(1953).jpg	http://www.imdb.com/title/tt0046487/	https://moviebarcode.tumblr.com/page/1	movie
Il momento della verità	6600	7.2	Drama	./images/Il_momento_della_verità__The_Moment_of_Truth_(1965).jpg	http://www.imdb.com/title/tt0059459/	https://moviebarcode.tumblr.com/page/1	movie
Interview with the Vampire: The Vampire Chronicles	7380	7.5	Drama, Fantasy, Horror	./images/Interview_with_the_Vampire_(1994).jpg	http://www.imdb.com/title/tt0110148/	https://moviebarcode.tumblr.com/page/1	movie
Xiao Bi de gu shi	6000	7.3	Drama	./images/Xiao_Bi_de_gu_shi__Growing_Up_(1983).jpg	http://www.imdb.com/title/tt0085695/	https://moviebarcode.tumblr.com/page/1	movie
Journey to the Seventh Planet	4620	4.7	Action, Adventure, Fantasy, Horror, Sci-Fi	./images/Journey_to_the_Seventh_Planet_(1962).jpg	http://www.imdb.com/title/tt0056127/	https://moviebarcode.tumblr.com/page/2	movie
The Big Short	7800	7.8	Biography, Comedy, Drama, History	./images/The_Big_Short_(2015).jpg	http://www.imdb.com/title/tt1596363/	https://moviebarcode.tumblr.com/page/2	movie
Green Room	5700	7	Crime, Drama, Horror, Music, Thriller	./images/Green_Room_(2015).jpg	http://www.imdb.com/title/tt4062536/	https://moviebarcode.tumblr.com/page/2	movie
I compagni	7800	7.9	Drama, History	./images/I_compagni__The_Organizer_(1963).jpg	http://www.imdb.com/title/tt0056945/	https://moviebarcode.tumblr.com/page/2	movie
O Menino e o Mundo	4800	7.5	Animation, Adventure, Family	./images/O_Menino_e_o_Mundo__Boy_and_the_World_(2013).jpg	http://www.imdb.com/title/tt3183630/	https://moviebarcode.tumblr.com/page/2	movie
Dracula	7680	7.4	Drama, Fantasy, Horror, Romance	./images/Dracula_(1992).jpg	http://www.imdb.com/title/tt0103874/	https://moviebarcode.tumblr.com/page/2	movie
